Ticket,Open Time,Type,Volume,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
41162855,2023.12.22 15:42:02,buy,0.03,eurusd,1.10209,0,1.10218,2023.12.25 23:29:09,1.10217,-0.3,0,-0.65,0.24
41162906,2023.12.22 15:45:07,buy,0.03,eurusd,1.10179,0,1.10218,2023.12.25 23:29:09,1.10216,-0.3,0,-0.65,1.11
41162950,2023.12.22 15:46:04,buy,0.03,eurusd,1.10152,0,1.10218,2023.12.25 23:29:09,1.10217,-0.3,0,-0.65,1.95
41162960,2023.12.22 15:46:04,sell,0.01,eurusd,1.10151,0,1.10105,2023.12.22 15:57:03,1.10105,-0.1,0,0,0.46
41162981,2023.12.22 15:47:03,buy,0.03,eurusd,1.10153,0,1.10218,2023.12.25 23:29:09,1.10216,-0.3,0,-0.65,1.89
41162997,2023.12.22 15:48:02,buy,0.03,eurusd,1.1014,0,1.10218,2023.12.25 23:29:09,1.10217,-0.3,0,-0.65,2.31
41163017,2023.12.22 15:50:03,buy,0.03,eurusd,1.1013,0,1.10218,2023.12.25 23:29:09,1.10217,-0.3,0,-0.65,2.61
41163031,2023.12.22 15:51:01,sell,0.01,eurusd,1.10156,0,1.10105,2023.12.22 15:57:03,1.10105,-0.1,0,0,0.51
41163054,2023.12.22 15:53:01,buy,0.03,eurusd,1.10121,0,1.10218,2023.12.25 23:29:09,1.10217,-0.3,0,-0.65,2.88
41163077,2023.12.22 15:57:05,buy,0.04,eurusd,1.10102,0,1.10218,2023.12.25 23:29:09,1.10217,-0.4,0,-0.87,4.6
41163096,2023.12.22 16:00:02,sell,0.01,eurusd,1.10113,0,1.10098,2023.12.22 16:23:13,1.10096,-0.1,0,0,0.17
41163114,2023.12.22 16:01:07,sell,0.01,eurusd,1.10138,0,1.10098,2023.12.22 16:23:13,1.10096,-0.1,0,0,0.42
41163130,2023.12.22 16:02:01,sell,0.01,eurusd,1.10139,0,1.10098,2023.12.22 16:23:13,1.10096,-0.1,0,0,0.43
41163171,2023.12.22 16:11:10,sell,0.01,eurusd,1.10158,0,1.10098,2023.12.22 16:23:13,1.10096,-0.1,0,0,0.62
41163189,2023.12.22 16:12:05,sell,0.01,eurusd,1.10169,0,1.10098,2023.12.22 16:23:13,1.10096,-0.1,0,0,0.73
41163205,2023.12.22 16:13:06,sell,0.01,eurusd,1.10177,0,1.10098,2023.12.22 16:23:13,1.10096,-0.1,0,0,0.81
41163241,2023.12.22 16:24:01,sell,0.01,eurusd,1.10087,0,1.10124,2023.12.22 16:45:16,1.10125,-0.1,0,0,-0.38
41163255,2023.12.22 16:24:02,buy,0.04,eurusd,1.10092,0,1.10218,2023.12.25 23:29:09,1.10217,-0.4,0,-0.87,5
41163272,2023.12.22 16:25:04,sell,0.01,eurusd,1.10098,0,1.10124,2023.12.22 16:45:16,1.10125,-0.1,0,0,-0.27
41163289,2023.12.22 16:26:05,sell,0.01,eurusd,1.10118,0,1.10124,2023.12.22 16:45:16,1.10125,-0.1,0,0,-0.07
41163307,2023.12.22 16:27:02,sell,0.01,eurusd,1.10169,0,1.10124,2023.12.22 16:45:16,1.10124,-0.1,0,0,0.45
41163323,2023.12.22 16:28:03,sell,0.01,eurusd,1.10179,0,1.10124,2023.12.22 16:45:16,1.10124,-0.1,0,0,0.55
41163339,2023.12.22 16:29:01,sell,0.01,eurusd,1.10196,0,1.10124,2023.12.22 16:45:16,1.10124,-0.1,0,0,0.72
41163357,2023.12.22 16:31:03,sell,0.01,eurusd,1.10209,0,1.10124,2023.12.22 16:45:16,1.10125,-0.1,0,0,0.84
41163375,2023.12.22 16:32:05,sell,0.01,eurusd,1.10226,0,1.10124,2023.12.22 16:45:16,1.10125,-0.1,0,0,1.01
41163395,2023.12.22 16:33:06,sell,0.01,eurusd,1.10229,0,1.10124,2023.12.22 16:45:16,1.10125,-0.1,0,0,1.04
41163409,2023.12.22 16:34:01,sell,0.01,eurusd,1.10231,0,1.10124,2023.12.22 16:45:16,1.10125,-0.1,0,0,1.06
